con-par,,,rand-par,,,cont-min,,,rand-min,,
baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 ,baseline,workload1,wkload2 
1606177666,1624616430,1595188228,337723581.8,664712340.6,710933325.7,1439983239,1439983239,1439983239,284446378.9,468768890.1,673751035.8
1582912501,1554915990,1553875462,350656315.1,690535796.2,734860841.1,1406373994,1406373994,1406373994,287499675.7,482202487.5,680594843.4
1585497518,1552330970,1556460479,341905923.7,683206134,718150587.3,1414127359,1414127359,1414127359,301439365.3,496208281.3,692131197.9
1613932723,1611750915,1595218018,295210950.9,629279858.4,664042523.1,1452939808,1452939808,1452939808,242181816.2,458960765.5,651378842.9
1611347705,1606580879,1590047981,264001133.1,914104611.7,902041870.7,1455523139,1455523139,1455523139,329980078.7,835845517,810760540.9
1572680188,1565316315,1553960417,304638376.9,881126638.9,856095481.8,1473473366,1473473366,1473473366,386341762.2,830746692.8,791505738.7
1542749020,1550691280,1583316452,330363656.1,912673214.2,884973151.5,1580280227,1580280227,1580280227,374535469.4,819251951.6,787811135
1511728798,1535145689,1552278489,311277738.4,899194894.3,877674118.3,1572562342,1572562342,1572562342,410781544.1,849091844.9,821971972.6
1496218689,1517050560,1536768381,330678925,911140586.1,881875793.1,1557050544,1557050544,1557050544,384658074.5,834178564.7,812444025.3
1506558763,1478370341,1523890816,407719794.9,1253830582,1269903449,1541536426,1541536426,1541536426,340991367.8,1198093543,1181775440
1491048653,1462860232,1508380706,404491659.3,1259748413,1261960006,1526024628,1526024628,1526024628,365736867.2,1233600677,1214509238
1516898839,1514525120,1544553225,356897806.6,1260646581,1270958327,1541571909,1541571909,1541571909,288536346.7,1240009487,1225446160
1493633672,1491259954,1521288058,402716376.8,1237206106,1241944803,1518305054,1518305054,1518305054,359829800,1216595940,1192966222
1432811363,1432811074,1462781454,387404419.4,1238487785,1235732739,1587567252,1587567252,1587567252,373886278.8,1230159891,1205991884
1414719612,1414719324,1444689703,381066689.5,1223577967,1244563312,1579810509,1579810509,1579810509,345324603.2,1204153740,1183262889
1466381123,1471550871,1501521250,262214623.1,662606999.8,646930005.7,1587602733,1587602733,1587602733,244977602.6,611514199.7,510063931
1432779260,1437949009,1467919388,271702759.1,659143072.3,631671632.1,1564335880,1564335880,1564335880,285459235.8,601588702.3,521525223.3
1450906494,1450906205,1475736336,257167085,629447476.8,625202085.8,1587537465,1587537465,1587537465,266218800.2,585735744.9,504300026.1
1448324853,1448324564,1473154695,256807347.4,656814781.5,647171773.6,1595290830,1595290830,1595290830,239531147.2,600751296.5,504568680.3
1355829342,1356203676,1386203844,252361728.8,634067674.3,623364996.1,1335958020,1335958020,1335958020,242512437.7,576113656.8,504355574.8
1079803385,1085552341,1086179397,101989120.8,390660963.8,239341380.3,1306293615,1306293615,1306293615,109091307.1,445168610,417104454.4
1533742799,1570757755,1533918020,102486925.4,393066455.7,241206460,1636034083,1636034083,1636034083,116180817.8,447469462.9,424293798.8
1501122127,1532967047,1514425339,443989574.5,578086720.8,600101339.7,1654127521,1654127521,1654127521,475365225.2,610409090.6,611005317.4
1568145310,1536351666,1533916122,460310123.2,601394057.8,628498637.3,1605015756,1605015756,1605015756,496439997.1,643767372.5,643906613.5
1562976963,1526013281,1555397337,405636737.7,545035538.2,580542193.5,1620524178,1620524178,1620524178,457600445.9,617640430.3,624260099.5
1547029746,1572899201,1547206987,424932473.4,569645793.8,586844917.7,1640775895,1640775895,1640775895,502159006.8,664927229.2,648037372.7
1560348424,1581047842,1568279033,437793880.1,587542344.6,603583285.1,1667016289,1667016289,1667016289,509034810,672242520.7,655037952.5
1593948180,1573291478,1573447172,393639383.2,568229498.3,572361202.8,1620489542,1620489542,1620489542,422126261.2,619779198.6,591475811.9
1596534889,1570708149,1586372265,72002699.71,224960440.6,229921742.4,1648923057,1648923057,1648923057,72002699.71,266046622.7,236258457.4
1645792182,1658842370,1632825028,95411642.28,239558629,274328161,1596640931,1596640931,1596640931,143672481.1,300239786.5,261949423.3
1625113723,1632993875,1612146569,93150529.39,237472578.1,268885381.5,1588884186,1588884186,1588884186,127077379,283975338.7,246778555.2
1627303257,1611922036,1632429335,216689480.9,789083184.8,784750263.3,1526457327,1526457327,1526457327,159801621.7,809026942.8,586363275
1645791974,1632995771,1650918051,158222128.8,776867334.5,762727861.6,1535977371,1535977371,1535977371,138415071,795880817.5,539769932.7
1661278794,1676908915,1650893752,228352604,793172042.4,793843795.2,1573357601,1573357601,1573357601,159086620.2,812952439.4,564356345.5
1658695465,1671740567,1645725403,172202702.2,781027846.7,778364399.3,1581110969,1581110969,1581110969,148802909.2,808852419.5,554459077.2
1681957045,1661400701,1684495197,239717166.8,813207934.9,805708958.2,1517269286,1517269286,1517269286,186647908.2,824040197.4,585342190.4
1642978474,1588154270,1630690518,126792657,822981567.6,760022147.8,1556482915,1556482915,1556482915,176696504,866702619.4,842309367.8
1565536898,1526221601,1545458598,137235263.1,829127873.8,767471601.9,1515080605,1515080605,1515080605,169373773.2,874173410.8,834549583
1544858439,1505543142,1524780137,118057149.9,809192812,750510057.8,1520248953,1520248953,1520248953,111958286.5,845739379.3,815651785.6
1596555222,1526223497,1594570153,75901786.57,772284869,706795630.3,1460828063,1460828063,1460828063,76689476.92,813347211.1,788972264.8
1581046799,1510715074,1579061731,178051517,545862608.8,559435786,1499572600,1499572600,1499572600,213545962.9,654362311.8,589613651.8
1575855335,1541707488,1553188543,228983352.3,592209619.7,561958727.4,1535742590,1535742590,1535742590,224711640.8,657457179.5,601031285.7
1583612079,1549464230,1558360266,152362176.8,529846197.4,525732312.4,1553836031,1553836031,1553836031,131021814.6,613194580.1,560132955.5
1604288641,1528784290,1599715079,226432838.3,589658574.1,578678676.6,1496971106,1496971106,1496971106,222161126.4,654918335.2,598480891.1
1575855126,1500350776,1573866583,158653600.8,541117001.8,537265532,1499554436,1499554436,1499554436,137910076.8,624103110.2,570261718.4
1444057187,1454212962,1491770083,293113299.6,886298799.5,900812810.9,1586875503,1586875503,1586875503,221157146.6,892139859,860834138
1535150398,1421183122,1417868641,295068836.2,877205810.3,911531060.1,1612722310,1612722310,1612722310,195492301.5,873981643.1,837926744.2
1506716883,1467134260,1510048729,238280797.9,858597229.4,878256470.2,1558444095,1558444095,1558444095,212118038,878263037.6,838446186.8
1532565379,1477476022,1520390492,283502506.1,871061782.9,882137284.1,1584290902,1584290902,1584290902,214076297.4,888507640.2,868344290.4
1305456084,1228507566,1300689622,274059387.1,567336940,597409768.8,1449877465,1449877465,1449877465,335854868,612699129.6,464380685.8
1396890723,1342002629,1389643222,272795773.1,556797504.1,585773907.3,1559917008,1559917008,1559917008,314068091,595313940.7,443051477.5
