con-par,,rand-par,,cont-min,,rand-min,
baseline,workload2,baseline,workload2,baseline,workload2,baseline,workload2
13053.90471,13011.94635,15187.9552,15670.39189,49817.73236,49817.73236,11836.33445,11629.43077
13310.39511,13284.49537,16220.8726,16562.66329,50909.34472,50909.34472,13229.29841,12952.45873
12669.63443,12701.52027,18141.66696,18279.52997,68884.83826,68884.83826,10016.4565,10379.77099
12944.51722,12877.12447,14336.91748,15170.39254,67143.46487,67143.46487,14095.35923,14441.42149
13302.26238,13249.60305,17258.84497,16919.20095,54177.83738,54177.83739,13515.55231,14059.02164
13429.04716,13444.56137,18402.88905,18207.69493,59362.7836,59362.78361,12411.41993,13095.55061
12356.65552,12398.16521,18760.56223,18659.80395,60788.32457,60788.32457,16415.73028,16702.27814
15111.59103,15123.70027,14591.23103,15318.47909,69053.90382,69053.90382,12442.00316,13132.53891
16164.14033,16150.27761,17797.75575,17772.09192,66537.65863,66537.65863,11222.19894,11932.02851
15156.97595,15194.51263,14958.31004,18382.93984,60101.3643,60101.3643,16539.0168,18891.29325
15035.92995,15021.83238,15503.61686,15693.2985,59383.92273,59383.92273,11951.19776,12491.3438
14689.08789,14630.94002,15955.04031,16742.51199,58701.49605,58701.49605,11466.5927,11717.28568
12506.8378,12494.51016,14146.88829,14453.73757,61367.04486,61367.04486,9913.242402,10366.90163
16830.61512,16848.13691,17539.19056,17171.34975,69212.91472,69212.91472,11848.02884,12185.40994
12006.66374,11989.01473,15811.49524,16519.01221,60986.72521,60986.72521,15951.2051,15518.20091
12114.49193,12120.15591,16724.77083,17107.37829,59631.84053,59631.84053,13523.97354,13868.64327
15198.10655,15133.81439,16979.541,16934.30461,55322.58623,55322.58623,16111.55555,16123.14684
16711.98559,16581.54471,17786.90403,19557.11367,69802.78353,69802.78353,18977.09079,20099.85285
14177.37627,14114.68222,15021.88812,15086.67924,84093.99298,84093.99298,11752.66923,12214.47962
15025.3242,14922.86346,14733.36864,15358.79058,70581.57563,70581.57563,11923.29978,11994.07779
17080.80964,16985.56096,15694.53633,15962.2284,74311.07111,74311.07111,15269.85355,15223.50558
9906.503165,9852.469761,14042.20636,14057.12243,28056.65924,28056.65925,12589.54111,12470.98458
9118.950649,9135.596887,22313.76507,22086.35663,29193.32856,29193.32857,18063.59539,17284.48714
8034.319331,8005.876842,23667.15692,22945.78936,10331.66499,10331.66499,18110.80734,18285.80094
