con-par,,rand-par,,cont-min,,rand-min,
baseline,workload1,baseline,workload1,baseline,workload1,baseline,workload1
335920836.9,336537783.1,218245778.4,243667794.9,992519207.1,992519207.1,485834299.9,550928785.1
335923490.4,336537421.8,218243841.8,243666010.5,992521604.2,992521604.2,485835408.4,550926848.1
335917775.5,336534546.7,218237165.2,243753384.4,992520525.7,992520525.7,485826516.6,550973737.7
335916285.1,336540586.1,218250172.3,243755703.7,992519524.8,992519524.8,485832558.7,550933138.5
335918273.2,336543736.9,218250795.7,243671155.3,992523009,992523009,485833027.9,550869518.2
335917876.2,336540837.1,218246607.6,243666967.2,992523348.8,992523348.8,485829666,550923321.6
335915473.3,336542248.5,218247070.2,243667348,992525328.2,992525328.2,485838555.9,550875046.2
335920254.2,336543407.5,218247268.7,243667628.4,992520605.1,992520605.1,485829500.9,550865991.2
335917851.6,336543160.3,218244372.6,243753385.2,992523262,992523262,485826518,550936287
335918934.3,336538694.7,218233191.4,243762823.8,992522432.5,992522432.5,485822608.9,550977712.9
335918402.1,336540927.1,218242631.7,243662991.4,992524174.6,992524174.6,485828737.7,550865228
335918518.8,336539185.9,218243460.4,243667218.3,992520602.4,992520602.4,485831982,550926466.6
335916193.1,336543160.1,218243543.5,243747092.7,992523260.3,992523260.3,485825755.6,550935456.4
335916711,336537780.9,218250879.5,243761549.1,992521942,992521942,485833918,550932692.2
335916050.5,336540842.7,218249587,243669946.6,992524175.9,992524175.9,485831819.2,550868309.5
335918183,336538520.1,218249751.9,243670941,992519197.7,992519197.7,485836620.2,550873110.5
335918517.7,336541756.5,218244370.6,243664648.4,992521028.6,992521028.6,485834132.5,550870622.8
335920344.9,336535374.7,218247431.9,243665967.1,992518458.7,992518458.7,485828836.3,550865326.6
335920596,336536039.9,218247517.5,243750238.8,992519120.4,992519120.4,485828836.4,550933138.3
335922830.8,336540101.3,218247351.6,243753384.6,992521440.4,992521440.4,485828669.3,550929164.3
335918028.1,336540678.4,218241225.4,243761996.3,992522017.1,992522017.1,485829663.4,550933138.1
335918453.9,336541264.3,218246157.1,243762376.8,992525667.8,992525667.8,485829218.1,550977265.7
335918705,336538444.1,218243461.5,243664565.3,992526244.6,992526244.6,485826520,550926468.2
335919181.3,336538766.1,218243460.7,243664564.7,992521690.7,992521690.7,485826519.5,550926467.7
335920345.1,336541169.2,218246159.3,243666519,992522269.4,992522269.4,485833918.3,550870408.6
335922125.6,336541841.8,218240973.9,243752558.3,992525578.9,992525578.9,485824862.5,550929163.7
335918894.1,336544072.8,218246690.2,243756532,992525666.5,992525666.5,485828835.5,550932311.1
335920095.6,336539765.8,218240315.1,243662331.5,992521693.1,992521693.1,485829664.9,550929614.2
335917605.2,336542168.6,218242967.8,243659845.7,992522267.6,992522267.6,485833473.1,550869963.4
335920345.3,336536619.4,218246606.5,243668623,992524261.9,992524261.9,485835128,550929613.2
335919768.3,336540676.7,218243348.5,243761550,992524840.5,992524840.5,485834746.8,550933520.2
335920502.1,336535791.6,218247519.7,243667710.5,992519458.9,992519458.9,485829665.3,550929613.4
335919095.3,336540678.1,218243840.1,243665856.6,992519206.7,992519206.7,485836236.5,550926846.7
335925146.2,336537866.5,218240313.1,243660672.8,992521604,992521604,485828009,550864499.3
335920344.7,336538528.6,218245778.6,243666138.2,992520525.6,992520525.6,485830158.6,550866648.9
335918025.7,336540763.1,218239863.9,243756912.3,992520352.2,992520352.2,485829282.9,550932690.5
335914880.2,336544650.6,218250172.3,243761996.2,992523837.5,992523837.5,485832558.7,550926846.1
335917048.4,336543497.2,218238079.2,243765142.4,992523349,992523349,485826517.2,550929992
335918128,336544160.2,218241225.7,243756531.6,992525328.4,992525328.4,485829664.4,550939430.9
